id,created_at,text
964839059746164736,2018-02-17 12:28:52,"b""@MarietjeSchaake @anneapplebaum How about the Dutch foreign minister who was lying about his stay in Poetin's Datsj\xe2\x80\xa6 https://t.co/uTmvGp2pMw"""
964787761831084032,2018-02-17 09:05:01,b'@pvdmeersch @Bjheijne @nrc En hoe heet dat krantje ook alweer dat de macht steeds beschermd c.q als propagandakanaal dient....?'
964486243747860480,2018-02-16 13:06:54,b'@geertwilderspvv  https://t.co/OatqUaFEhM'
964437989064523776,2018-02-16 09:55:09,b'@VictorOnrust @EWdeVlieger #oxfamnovib https://t.co/8D8p7qlSaW'
964436869021757440,2018-02-16 09:50:42,b'@DonArturito  https://t.co/0DlkPhQ8Zb'
964266084558884865,2018-02-15 22:32:04,b'https://t.co/gXMhfnHMhW'
964230430747713539,2018-02-15 20:10:23,b'https://t.co/AS3n2JBT0Z'
964151612171317249,2018-02-15 14:57:12,b'@JoostNiemoller @Eerdmans  https://t.co/wSAdHQgQD2'
964115444176220160,2018-02-15 12:33:28,b'https://t.co/loK44l7uX8'
964035023585398784,2018-02-15 07:13:55,b'@inigo_says @kromst  https://t.co/XQekfCvOQf'
963745420521426946,2018-02-14 12:03:08,"b""@JoostNiemoller 'Soumission' wordt realiteit in Rotterdam"""
963714362010677248,2018-02-14 09:59:43,b'@BNR @Farah_Karimi  https://t.co/inCthM8aIK'
963713362210279425,2018-02-14 09:55:45,b'@HanTenBroeke @wierdduk @HalbeZijlstra @MinBZ Het doelbewust verspreiden van nepnieuws om het vijandsbeeld van Rusl\xe2\x80\xa6 https://t.co/r050UfqKUr'
963535436583985152,2018-02-13 22:08:44,"b'Vandaag nam ook Martin Schulz afscheid. We gaan hem missen, een echte democraat in hart en nieren. https://t.co/dtLXT2JWMo'"
963528430359928832,2018-02-13 21:40:53,b'Mark en Halbe in gelukkigere tijden.\xf0\x9f\x98\xa2 https://t.co/C20WY80vvu'
963393679389011973,2018-02-13 12:45:26,b'@RTLnieuws  https://t.co/htCsfwIEzN'
963369771201855488,2018-02-13 11:10:26,b'https://t.co/0B27u2abuW'
963338465587974144,2018-02-13 09:06:02,b'@jndkgrf @wouterdewinther Probeerde Wouter destijds ook al niet de affaire Henny Keizer te downplayen?'
963062671066255362,2018-02-12 14:50:08,b'https://t.co/Vr1DVhsoG4'
963057702988599296,2018-02-12 14:30:23,"b'@dopsleutel13 Ja, als het gaat om het goede doel ben ik bereid om alles te geven wat ik in me heb.'"
963029693321695233,2018-02-12 12:39:05,b'@ADPolitiek @thierrybaudet Zo iemand noemen we een pathologische leugenaar.'
963024275790880769,2018-02-12 12:17:34,b'@RiavdOetelaar Is ironisch bedoeld.'
963018749405270017,2018-02-12 11:55:36,b'@jndkgrf We slaan internationaal een pleefiguur met Halbe Zijlstra als Minister van BUZA.'
963000025797353473,2018-02-12 10:41:12,"b'RT @baspaternotte: Dit is dus de zelfverklaard chef nepnieuws, mind you. Die een Europese instelling steunt die onterecht Nederlandse media\xe2\x80\xa6'"
962996766533672960,2018-02-12 10:28:15,b'RT @RVeelo: Een overheid als nepnieuws-bestrijder. Iemand nog? https://t.co/EJYKDTfgdb'
962996432826458113,2018-02-12 10:26:55,b'@RVeelo  https://t.co/z6Va4qeSBD'
962990753252331520,2018-02-12 10:04:21,b'@NPORadio1 Als Rutte je publiekelijk steunt weet je dat het einde oefening is.'
962986291154571265,2018-02-12 09:46:37,b'@LavieJanRoos @jndkgrf  https://t.co/yTwXD5L8FJ'
962981653692940289,2018-02-12 09:28:12,b'https://t.co/4FrMPAJCyH'
962981142612905984,2018-02-12 09:26:10,b'@TPOnl  https://t.co/pG3C5JmzBt'
962948581715075072,2018-02-12 07:16:47,b'@arnoldkarskens @KajsaOllongren @MinPres @volkskrant Net als in de VS komt ook in NL het Rusland-nepnieuws narratie\xe2\x80\xa6 https://t.co/HZYYLCeNHv'
962785966615355392,2018-02-11 20:30:36,b'https://t.co/8x4ukcfZCi'
962747982872498176,2018-02-11 17:59:40,b'https://t.co/4rzRui3yge'
962642892991975424,2018-02-11 11:02:05,b'@RTLnieuws Nederland is een kuddevolk.'
962600840791027712,2018-02-11 08:14:59,b'RT @NielsKlaassen: Haags PvdA-wethouder Baldewsingh verloor in juni de lijsttrekkersverkiezing. \nSindsdien sprak hij niet meer met partijge\xe2\x80\xa6'
962494308711567361,2018-02-11 01:11:40,"b""Interessante confrontatie in BBC's Hardtalk tussen 'cocky' Stephen Sackur en straatvechter Roger Stone over 1e jaar\xe2\x80\xa6 https://t.co/Qa375stk9n"""
