Wijken,0 to 4-year-olds,5 to 14-year-olds,15 to 19-year-olds,20 to 44-year-olds,65 to 79-year-olds,80-year-olds and above,45 to 64 year-olds,Dutch,Turkish,Moroccan,Surinamese,South European,Antillean & Aruban,Single-parent household,Living together without children,Living together with children,Single-parent family,Number of private households with a low income,Number of private households with an average income,Number of private households with a high income,"Number of private households, up to €34,100 (2012)","Number of private households with income of €33,100-38,000 (2012)","Number of private households with income of €38,000-43,600 (2012)","Number of private households with income of €43,600 or more (2012)",Number of private households with income from employment,Number of private households with income from unemployment benefits/national assistance,Number of private households with income from WIA benefits,Number of private households with income from pensions,"Number of persons employed in agriculture, forestry and fisheries",Number of persons employed in mining,Number of persons employed in industry,"Number of persons employed in production, distribution and trade in electricity and natural gas","Number of pers. employed in prod./distrib. of water; waste (water) man., decontamin. treatment",Number of persons employed in the building industry,Number of persons employed in wholesale and retailing; car repairs,Number of persons employed in transport and storage,"Number of persons employed in provision of accommodation, meals and drinks",Number of persons employed in information and communication,Number of persons employed in financial institutions,Number of persons employed in property trading and rentals,"Number of persons employed in consultancy, research, special commercial services","Number of persons employed in movable property rentals, other commercial services","Number of persons employed in public administration, government services, social insurance",Number of persons employed in education,Number of persons employed in health care and welfare,"Number of persons employed in culture, sport and recreation",Number of persons employed in extraterritorial organisations and bodies,Number of unemployed job-seekers
31 Rustenburg en Oostbroek,1486,2060,913,8571,1214,259,3796,7009,2774,544,2354,403,422,3816,2057,2190,852,4590,3200,510,5770,540,600,1400,6120,670,400,1000,345,,39,,,525,575,41,131,86,22,27,141,202,,194,311,57,,1741
32 Leyenburg,829,1314,655,5392,1799,957,3659,9842,508,252,914,198,185,3655,1839,1544,662,3510,3150,700,4190,530,640,2000,4780,380,270,1880,24,,10,,,215,759,26,45,39,17,20,108,92,9,207,2920,50,,805
33 Bouwlust/Vrederust,2129,3211,1519,9991,2981,1599,5948,9222,4785,3577,2795,221,1097,6289,2707,2874,1540,7780,3910,840,9310,660,680,1890,6470,1850,790,3170,258,,44,,,416,755,63,55,52,7,102,123,343,145,564,1774,311,,3099
34 Morgenstond,1336,1721,744,7291,1817,782,4205,6892,2332,1555,2262,201,556,5250,1847,1667,1080,6110,2680,630,6930,480,480,1530,5100,1520,600,1940,146,,31,,30,380,1006,30,171,56,21,69,206,204,263,196,958,84,,2101
35 Zuiderpark,2,1,0,14,72,33,42,139,2,1,5,2,0,97,27,3,2,110,20,0,110,0,0,10,20,10,0,80,,,,,,,9,,42,,,,5,37,228,3,16,70,,1
36 Moerwijk,1623,2156,875,8391,1595,816,4356,5981,2421,2392,2215,218,964,5898,1770,1812,1270,7060,2440,400,8060,410,400,1040,5110,2180,660,1650,137,,27,,1,410,454,231,66,39,10,10,111,156,78,410,469,33,,3075
37 Groente- en Fruitmarkt,379,799,420,2116,249,35,1156,679,1993,428,930,133,81,799,402,689,270,1050,670,200,1400,90,110,320,1290,240,150,210,141,,78,,,276,325,671,50,12,5,16,97,187,266,92,175,8,,482
38 Laakkwartier en Spoorwijk,2767,4516,2384,18181,2435,611,8601,10709,3486,3715,6620,615,1912,9304,4260,4162,2219,10520,5720,1080,12830,920,990,2580,11230,2460,980,2260,216,1,245,,3,1210,1956,186,323,2372,19,356,433,496,1186,2611,1296,201,,4401
39 Binckhorst,19,23,3,152,27,6,78,142,7,26,13,8,27,125,35,18,19,90,30,10,100,0,10,10,80,20,10,10,,182,316,3,251,542,792,340,152,5066,63,17,502,375,,131,428,89,946,53
40 Wateringse Veld,1397,3466,1472,6861,1382,509,5675,12445,1374,836,2388,257,359,1820,1810,3325,842,1880,2980,2480,2570,340,490,3940,5610,350,230,1090,73,,21,,1,287,684,62,72,119,14,23,320,193,,408,1107,72,,904
41 Hoornwijck,7,19,8,36,27,6,70,141,4,0,1,0,2,26,22,18,5,20,30,30,20,0,0,50,40,0,0,20,1,,143,3,256,583,611,275,50,199,4,6,757,176,625,3,35,159,,7
42 Ypenburg,2072,5036,1789,9512,1362,115,6929,16369,975,714,2663,363,525,2296,2253,4444,1087,2360,3630,3480,3160,430,560,5340,7650,500,310,910,18,,41,,6,280,690,58,77,204,63,32,632,260,634,637,716,145,,1206
43 Forepark,1,11,13,32,32,7,64,137,0,0,3,0,1,30,27,19,2,30,20,20,30,0,0,30,40,0,0,30,15,,465,,,414,2049,1436,61,614,60,35,658,1732,62,65,15,203,,6
44 Leidschenveen,1682,3804,1319,7200,1104,283,5228,12891,601,670,2490,208,392,1402,1701,3623,644,1310,3030,2710,1910,350,480,4310,5840,240,160,770,20,,32,,1,196,590,84,46,156,32,14,396,156,1068,708,460,63,,764
,,,,,,,,,,,,,,,,,,20,-80,-10,-30,10,-10,-30,-50,-60,-10,-130,,,,,,,,,,,,,,,,,,,,82
