Wijken,0 to 4-year-olds,5 to 14-year-olds,15 to 19-year-olds,20 to 44-year-olds,65 to 79-year-olds,80-year-olds and above,45 to 64 year-olds,Dutch,Turkish,Moroccan,Surinamese,South European,Antillean & Aruban,Single-parent household,Living together without children,Living together with children,Single-parent family,Number of private households with a low income,Number of private households with an average income,Number of private households with a high income,"Number of private households, up to €34,100 (2012)","Number of private households with income of €33,100-38,000 (2012)","Number of private households with income of €38,000-43,600 (2012)","Number of private households with income of €43,600 or more (2012)",Number of private households with income from employment,Number of private households with income from unemployment benefits/national assistance,Number of private households with income from WIA benefits,Number of private households with income from pensions,"Number of persons employed in agriculture, forestry and fisheries",Number of persons employed in mining,Number of persons employed in industry,"Number of persons employed in production, distribution and trade in electricity and natural gas","Number of pers. employed in prod./distrib. of water; waste (water) man., decontamin. treatment",Number of persons employed in the building industry,Number of persons employed in wholesale and retailing; car repairs,Number of persons employed in transport and storage,"Number of persons employed in provision of accommodation, meals and drinks",Number of persons employed in information and communication,Number of persons employed in financial institutions,Number of persons employed in property trading and rentals,"Number of persons employed in consultancy, research, special commercial services","Number of persons employed in movable property rentals, other commercial services","Number of persons employed in public administration, government services, social insurance",Number of persons employed in education,Number of persons employed in health care and welfare,"Number of persons employed in culture, sport and recreation",Number of persons employed in extraterritorial organisations and bodies,Number of unemployed job-seekers
01 Oostduinen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,181,,,,23,,,,370,1,,,,,435,
02 Belgisch Park,392,767,531,2520,1120,414,2170,5065,42,67,162,165,73,2217,1039,780,228,1240,1180,1020,1420,160,190,1690,2260,130,60,950,3,,16,,,50,535,229,726,99,55,172,290,70,803,212,445,112,30,266
03 Westbroekpark/Duttendel,46,155,126,275,453,326,527,1239,4,5,11,35,11,418,270,169,31,210,250,380,210,30,30,570,460,10,10,370,6,,3,,,11,14,,55,40,8,30,152,61,3957,55,449,53,87,25
04 Benoordenhout,843,1558,566,3406,2075,1361,3351,7742,50,24,115,334,112,3101,1722,1446,297,1300,2040,2710,1330,240,310,4170,3840,80,40,2040,2,910,36,,1,51,695,19,98,393,125,123,2542,287,2704,774,2741,152,46,211
05 Archipelbuurt,260,532,284,1698,925,234,1811,3277,23,15,90,183,48,1789,777,517,153,1060,910,970,1060,150,170,1550,1980,90,50,780,1,40,36,,,41,353,9,77,170,852,66,1292,212,1133,107,303,80,162,181
06 Van Stolkpark en Schev. Bos,21,83,42,151,142,111,204,477,0,4,7,7,7,170,97,68,15,90,90,120,100,10,10,190,200,0,0,110,,,,1,,3,25,,66,19,15,7,308,14,,100,180,100,134,6
07 Scheveningen,889,1398,693,5921,2252,965,4470,11785,83,131,310,280,183,4599,2290,1541,686,4070,2760,1490,4600,430,500,2790,5160,590,280,2160,306,23,215,,69,265,1388,295,1330,297,175,184,856,193,328,339,1079,911,3,951
08 Duindorp,399,612,274,2060,588,159,1599,4810,17,34,75,41,39,1173,630,710,270,1400,1040,330,1600,170,200,800,1710,260,140,610,5,,8,,,57,111,8,14,20,1,5,47,61,,46,76,23,,434
09 Geuzen- en Statenkwartier,782,1582,714,4073,1858,595,3837,8455,50,74,204,300,108,2868,1744,1569,372,2120,1940,1990,2390,260,380,3010,4100,220,120,1560,7,1,68,1,,147,1024,11,275,248,146,134,1312,154,211,323,1308,209,80,433
10 Zorgvliet,14,26,12,81,99,31,134,202,0,0,3,10,5,94,92,29,5,40,60,100,40,0,10,150,110,0,0,80,,,3,,,3,5,,134,149,11,28,612,464,237,317,130,241,2138,9
11 Duinoord,529,667,306,3067,706,229,1921,4497,28,34,196,185,98,2123,995,754,203,2120,1200,1070,2180,140,210,1850,2800,780,80,650,1,,67,,,92,357,18,133,85,46,177,510,108,273,185,1040,144,66,239
12 Bomen- en Bloemenbuurt,871,1360,612,4644,1980,849,3946,10042,86,70,416,241,116,3511,1902,1489,585,2530,3050,1500,2940,430,550,3150,4690,220,160,1950,2,,75,1,,172,864,12,167,85,52,33,504,77,,662,1536,153,,519
13 Vogelwijk,253,890,320,899,740,245,1683,3583,22,1,63,66,33,568,625,745,105,260,560,1130,310,50,70,1530,1330,10,20,590,3,,10,,10,32,69,2,19,48,15,36,231,22,36,348,779,30,,73
"14 Bohemen, Meer en Bos",148,300,179,950,1105,532,1458,3458,18,11,79,56,32,1598,702,343,133,1120,1120,490,1240,190,210,1070,1360,90,80,1170,,,7,,,23,104,1,39,18,9,10,113,37,,218,378,38,,153
15 Kijkduin en Ockenburgh,50,200,160,374,515,158,737,1640,14,11,42,19,20,425,389,215,44,230,330,400,250,40,50,620,520,20,10,400,1,,33,,57,5,153,2,327,4,2,10,63,48,,312,92,26,,52
16 Kraayenstein en Vroondaal,181,411,278,1417,707,199,1666,3624,52,55,196,59,56,985,649,500,141,750,920,500,870,150,180,970,1430,60,60,600,7,,19,,,58,151,10,87,19,13,26,117,96,56,67,533,30,,216
17 Loosduinen,742,1598,927,4754,2458,1235,5558,12287,496,467,987,159,181,3392,2280,1884,738,3490,3210,1290,4170,490,610,2720,4590,530,350,2420,25,,2767,,227,887,1629,1498,131,75,43,173,405,870,915,410,1788,110,11,937
18 Waldeck,666,1207,649,4331,3472,1756,4644,11561,302,357,708,219,256,4702,2353,1307,757,4270,3500,1000,4920,570,680,2600,4160,650,370,3440,18,,23,,7,170,865,28,47,57,23,26,176,107,141,437,4877,114,,1012
19 Vruchtenbuurt,636,1090,475,3262,1033,375,2741,7203,72,20,236,132,101,1708,1228,1198,382,1330,1870,1170,1600,260,300,2210,3190,150,90,900,3,2,22,,,145,274,8,95,48,19,19,208,91,,109,564,69,,371
20 Valkenboskwartier,1199,1624,802,8765,1278,291,4150,9113,558,488,2300,335,395,4871,2322,1732,858,4800,3080,1070,5580,520,600,2250,6520,820,360,1100,53,,59,,,446,611,338,203,100,38,26,389,205,287,165,385,212,7,1564
21 Regentessekwartier,807,1036,513,7094,933,219,3079,6698,523,592,1582,254,426,4361,1858,1113,517,3490,2020,1010,3900,350,410,1860,4770,590,270,780,20,,48,15,,257,753,21,173,99,8,125,415,131,395,200,535,297,,1371
22 Zeeheldenkwartier,567,872,411,5391,795,184,2695,5839,268,393,605,301,247,3846,1384,803,432,3060,1690,950,3300,260,360,1780,3990,580,270,670,1,,103,,,100,883,20,478,183,244,132,1004,328,89,340,916,328,340,844
23 Willemspark,71,76,38,610,205,38,392,729,11,6,14,73,14,554,228,94,37,340,250,250,330,40,70,410,630,20,20,170,,20,19,,,23,404,20,311,114,454,88,802,190,104,147,204,38,173,62
24 Haagse Bos,6,5,3,123,60,121,80,257,0,0,5,16,1,191,46,8,2,100,90,30,100,20,10,100,120,10,10,100,7,,,,,6,3,1,25,8,,6,548,53,44,67,72,6,,9
25 Mariahoeve en Marlot,779,1102,490,4948,2096,1239,3291,7195,290,450,732,210,456,4915,1639,1013,706,4500,2440,810,4870,430,530,1930,4030,890,320,2350,2,285,14,75,,79,505,24,77,89,2086,13,433,86,490,556,787,113,,1243
26 Bezuidenhout,1142,1147,672,7623,1493,404,3655,8972,188,252,709,536,293,5045,2241,1448,591,3250,3230,1730,3560,520,590,3520,5960,540,210,1390,7,162,1646,,,1300,1341,1428,303,1098,2468,101,4516,239,10890,1089,935,648,7,904
27 Stationsbuurt,572,771,627,5565,663,159,1996,3415,602,798,1070,204,889,3889,1273,675,466,2920,1210,450,3270,190,220,910,2910,750,200,580,18,,54,4,16,195,571,1024,472,464,419,258,750,345,3432,422,497,149,8,1160
28 Centrum,764,1094,622,9049,1700,343,4437,8409,511,981,1211,527,609,7203,2583,944,736,5430,2960,1360,5850,470,570,2860,6440,1140,390,1520,10,,259,,7,362,5335,373,3589,955,917,247,3097,1016,14963,917,4558,1675,503,1595
29 Schildersbuurt,2226,4794,2644,11746,2290,327,7741,2717,8761,7241,5646,260,909,6009,2287,3620,2012,8220,3470,680,10420,400,470,1070,5990,2920,1220,1970,252,,87,,6,463,501,84,190,47,35,18,143,668,384,910,933,132,,4723
30 Transvaalkwartier,1190,2186,1153,6497,1060,198,3364,1222,4498,2119,3427,362,307,2943,1323,1867,793,3960,1890,420,5030,260,250,720,3770,1000,490,890,219,,62,,3,460,774,40,225,32,19,17,57,174,19,454,537,45,,1934
