"Buurten","Single-parent household","Living together without children","Living together with children","Single-parent family","Number of households","% private households with a low income","% private households with an average income","% private households with a high income","Number of private households with a low income","Number of private households with a high income","Number of private households with an average income"
"93 Componistenbuurt",531,307,153,55,1046,31.3,49.5,20.2,310,200,490
"94 Waldeck-Noord",1280,555,141,57,2033,46.4,43.8,9.9,890,190,840
"95 Kom Loosduinen",1502,650,374,265,2791,55.8,34.9,9.7,1500,260,940
"96 Zijden/Steden/Zichten",1802,697,828,508,3835,60.1,32.9,6.7,2140,240,1170
"97 Kraayenstein & Vroondaal",970,679,571,172,2392,34.6,42.4,23.0,750,500,920
"98 Dreven en Gaarden",2204,958,1160,622,4944,59.3,33.4,7.3,2700,330,1520
"99 De Uithof",474,190,115,15,794,74.6,19.4,9.0,500,60,130
"100 Duindorp",1224,627,722,302,2875,50.5,37.5,11.9,1400,330,1040
"101 Erasmus Veld",272,163,262,81,778,32.9,37.1,30.0,230,210,260
"102 Hoge Veld",763,606,1370,370,3109,28.9,41.1,30.4,780,820,1110
"103 Parkbuurt Oosteinde",215,357,595,85,1252,12.5,35.0,52.5,150,630,420
"104 Lage Veld",438,478,614,201,1731,30.2,43.2,26.5,490,430,700
"105 Zonne Veld",230,241,607,146,1224,21.2,44.2,35.4,240,400,500
"106 Vlietzoom-West",25,20,19,5,69,28.6,42.9,42.9,20,30,30
"107 Vliegeniersbuurt",,,,,1,,,,,,
"108 Bosweide",83,187,374,30,674,12.5,20.3,68.8,80,440,130
"109 Tedingerbroek",,,,,,,,,,,
"110 De Reef",,,,,1,,,,,,
"111 De Venen",264,171,237,96,768,35.7,42.9,21.4,250,150,300
"112 Morgenweide",714,632,1102,366,2814,26.0,43.1,30.5,680,800,1130
"113 Singels",483,487,919,229,2118,24.7,37.9,36.9,490,730,750
"114 Waterbuurt",433,410,722,247,1812,29.2,40.9,29.8,500,510,700
"115 De Bras",252,323,1075,275,1925,20.1,33.7,46.2,370,850,620
"116 Vlietzoom-Oost",22,22,14,3,61,33.3,33.3,33.3,20,20,20
"117 De Rivieren",,,,,8,0.0,0.0,100.0,0,10,0
"118 De Lanen",294,325,1005,153,1777,16.5,44.1,38.8,280,660,750
"119 De Velden",297,429,693,142,1561,15.2,45.0,39.7,230,600,680
"120 De Vissen",662,813,1394,303,3172,20.9,41.9,37.5,620,1110,1240
"121 Rietbuurt",189,152,494,95,930,21.6,40.9,37.5,190,330,360
"Unknown",,,,,,88.9,88.9,88.9,-80,-80,-80
