Category,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16
Chicken ,2.092414995640802,2.2999080036798527,2.229654403567447,1.1156186612576064,0.9868421052631579,1.696512723845429,1.1,1.611665387567153,1.9704433497536946,3.080568720379147,2.195945945945946,1.9409937888198756,2.206461780929866,2.954209748892171,1.652892561983471,1.6990291262135921
Latte/Chocolate,3.4001743679163035,2.2079116835326587,2.4526198439241913,1.4198782961460445,2.1381578947368425,2.4505183788878413,2.2,1.3814274750575597,1.4778325123152714,1.0268562401263823,1.2668918918918919,1.708074534161491,2.6004728132387713,1.9202363367799118,1.6528925619834711,1.4563106796116505
Coffee,5.841325196163907,7.727690892364304,6.577480490523969,5.37525354969574,9.292763157894736,8.953817153628652,8.6,4.681504221028395,6.305418719211824,7.03001579778831,6.41891891891892,8.928571428571429,4.806934594168636,5.465288035450517,7.438016528925621,7.402912621359223
Ice Blended,6.102877070619006,4.415823367065317,3.232998885172798,3.3468559837728193,3.7006578947368425,2.0735155513666355,2.8,2.455871066768995,1.2807881773399017,1.1848341232227488,2.3648648648648654,2.950310559006211,3.1520882584712373,0.8862629246676516,1.487603305785124,1.941747572815534
Indomie,7.2362685265911075,8.003679852805888,8.695652173913043,8.316430020283976,7.8125,6.786050895381715,9.2,4.374520337682271,9.35960591133005,11.374407582938389,11.486486486486486,7.686335403726709,8.431836091410558,7.237813884785821,7.851239669421488,6.189320388349514
Juice,4.620749782040105,5.887764489420423,5.574136008918617,4.259634888438134,3.865131578947368,4.618284637134778,2.8,2.993092862624712,2.955665024630542,4.897314375987362,3.5472972972972974,3.3385093167701863,5.279747832939322,3.988183161004431,5.12396694214876,3.7621359223300965
Milkshake,0.6102877070619006,0.6439742410303588,0.7803790412486065,1.4198782961460448,1.3980263157894737,0.6597549481621112,1.0999999999999999,0.920951650038373,0.39408866995073893,1.3428120063191153,0.9290540540540541,0.6987577639751552,0.9456264775413712,2.806499261447563,1.0743801652892562,1.4563106796116505
Nasi Goreng,7.061900610287707,7.359705611775528,6.911928651059085,6.9979716024340775,6.990131578947368,4.995287464655985,6.6,5.6792018419033,7.093596059113301,7.661927330173776,8.361486486486486,8.074534161490682,9.692671394799055,10.118168389955688,9.50413223140496,9.466019417475728
Non-Coffee,3.1386224934612033,2.5758969641214353,2.898550724637681,3.2454361054766734,2.7138157894736845,3.8642789820923653,4.5,3.914044512663086,5.221674876847291,4.265402843601896,4.64527027027027,5.124223602484472,3.861308116627266,5.686853766617429,4.214876033057852,3.6407766990291264
Pasta,3.836094158674804,4.323827046918123,2.3411371237458196,4.158215010141988,2.8782894736842106,4.9010367577756835,2.2,3.8372985418265544,4.630541871921182,3.6334913112164298,4.72972972972973,4.425465838509317,6.067769897557132,3.8404726735598227,3.305785123966942,3.2766990291262132
Rice Bowl,4.3591979075850045,3.771849126034959,5.4626532887402455,3.853955375253549,3.2894736842105265,4.0527803958529685,4.2,7.674597083653109,4.7290640394088665,6.003159557661927,5.0675675675675675,4.891304347826087,4.491725768321513,4.062038404726736,3.1404958677685952,3.6407766990291264
Smoothies,0.959023539668701,1.1959521619135234,0.5574136008918618,1.2170385395537524,1.3157894736842104,0.6597549481621112,0.7,0.38372985418265537,0.9852216748768474,0.5529225908372828,0.5067567567567568,0.0,0.7092198581560284,0.4431314623338257,0.8264462809917354,0.9708737864077669
Snack,16.477768090671315,15.27138914443422,14.827201783723524,14.40162271805274,16.776315789473685,16.21112158341188,14.599999999999998,11.435149654643135,14.67980295566503,14.139020537124797,12.331081081081082,16.537267080745337,15.602836879432619,16.765140324963077,15.537190082644626,12.257281553398057
Sparkling Soda,1.8308631211857018,1.7479300827966882,3.0100334448160533,3.0425963488843815,2.87828947368421,3.3930254476908575,3.4000000000000004,1.8419033000767457,2.9556650246305423,1.5007898894154819,2.0270270270270268,2.4068322981366466,2.7580772261623325,1.1078286558345642,2.231404958677686,2.5485436893203883
Special Today,2.4411508282476024,1.655933762649494,3.121516164994426,8.72210953346856,3.2072368421052633,2.167766258246937,2.9,2.2256331542594014,2.955665024630542,3.3175355450236967,3.8851351351351355,2.406832298136646,1.9700551615445234,4.357459379615953,4.793388429752066,6.310679611650485
Tea,19.26765475152572,15.639374425023,15.719063545150505,17.342799188640974,18.503289473684212,18.096135721017912,17.800000000000004,12.279355333844975,15.862068965517242,17.614533965244867,18.665540540540544,14.130434782608694,15.445232466509063,16.469719350073856,15.454545454545453,19.053398058252426
Toko Bu Dewi,8.631211857018307,14.259429622815086,13.712374581939804,11.054766734279921,11.430921052631579,12.912346842601327,14.499999999999995,12.049117421335389,13.00492610837439,10.347551342812004,9.96621621621622,10.714285714285714,10.874704491725765,10.85672082717873,13.140495867768594,13.713592233009706
