Category,Item_Variant,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16
Juice,kedondong Juice,0,0,0,0,0,0,0,0,0,0,0,0,0,0.147710487,0.330578512,0
Latte,Caramel Iced,0.697471665,0.367985281,0.557413601,0.304259635,0.493421053,0.094250707,0.3,0.383729854,0.197044335,0.078988942,0.253378378,0,0,0.073855244,0,0
Latte,Caramel Latte Iced,0,0,0,0,0,0,0,0,0,0,0,0,0,0.073855244,0,0
Latte,Hazelnut Iced,0.523103749,0.919963201,0.891861761,0.202839757,0.740131579,0.565504241,0.7,0.076745971,0.295566502,0.078988942,0.253378378,0.465838509,0.630417652,0,0,0
Latte,Hazelnut Latte Iced,0,0,0,0,0,0,0,0,0,0,0,0,0,0.221565731,0.165289256,0.242718447
Latte,Matcha Iced,0.348735833,0.09199632,0.334448161,0.304259635,0.246710526,0.659754948,0.2,0.153491942,0.295566502,0.236966825,0.168918919,0.698757764,0.394011032,0,0,0
Latte,Matcha Latte Iced,0,0,0,0,0,0,0,0,0,0,0,0,0,0.295420975,0.247933884,0.121359223
Latte,Peppermint Iced,0.174367916,0,0,0.101419878,0,0.377002828,0.3,0.076745971,0.098522167,0.078988942,0,0.077639752,0.236406619,0.073855244,0,0
Latte,Peppermint Latte Iced,0,0,0,0,0,0,0,0,0,0,0,0,0,0.073855244,0,0
Latte,Red Velvet Iced,0.95902354,0.459981601,0.22296544,0.304259635,0.493421053,0.282752121,0.3,0.383729854,0.098522167,0.315955766,0,0.077639752,0.078802206,0,0,0
Latte,Red Velvet Latte Hot,0,0,0,0,0,0,0,0,0,0,0,0,0,0.073855244,0,0
Latte,Taro Iced,0.174367916,0.09199632,0.334448161,0.101419878,0.082236842,0.188501414,0,0.076745971,0,0.157977883,0.253378378,0.155279503,0.078802206,0,0,0
Latte,Taro Latte Iced,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.082644628,0.121359223
Latte,Tiramisu Iced,0,0,0,0,0,0,0,0,0.098522167,0,0.084459459,0,0.078802206,0,0,0
Latte,Tiramisu Latte Iced,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.082644628,0.121359223
Latte,Vanilla Iced,0.523103749,0.27598896,0.11148272,0.101419878,0.082236842,0.282752121,0.4,0.230237913,0.39408867,0.078988942,0.253378378,0.232919255,0.472813239,0,0,0
Latte,Vanilla Latte Iced,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.36407767
Milkshake,Chocolate,0.087183958,0.367985281,0.334448161,0.60851927,0.493421053,0.377002828,0.2,0.383729854,0.197044335,0.236966825,0.422297297,0.388198758,0.078802206,0,0,0
Milkshake,Milkshake Chocolate,0,0,0,0,0,0,0,0,0,0,0,0,0.315208826,0.812407681,0.165289256,0.606796117
Milkshake,Milkshake Matcha,0,0,0,0,0,0,0,0,0,0,0,0,0.078802206,0.960118168,0.41322314,0.485436893
Milkshake,Milkshake Strawberry,0,0,0,0,0,0,0,0,0,0,0,0,0,0.516986706,0.165289256,0
Milkshake,Milkshake Vanilla,0,0,0,0,0,0,0,0,0,0,0,0,0.078802206,0.516986706,0.330578512,0.36407767
Milkshake,Strawberry Smoothies,0.261551874,0.09199632,0,0.202839757,0.164473684,0.094250707,0.2,0.383729854,0.197044335,0.473933649,0.084459459,0.155279503,0.078802206,0,0,0
Milkshake,Vanilla Blended,0.261551874,0.18399264,0.445930881,0.60851927,0.740131579,0.188501414,0.7,0.153491942,0,0.631911532,0.422297297,0.155279503,0.315208826,0,0,0
Nasi Goreng,Nasi Goreng Buntut,0,0,0,0,0,0,0,0,0,0,0,0,0,0.147710487,0.743801653,0.606796117
Nasi Goreng,Nasi Goreng Hongkong,4.184829991,4.875804968,3.567447046,3.955375254,3.453947368,2.7332705,3.4,2.916346892,4.137931034,4.344391785,4.64527027,4.580745342,3.861308117,3.76661743,3.05785124,2.427184466
Nasi Goreng,Nasi Goreng Pattaya,0,0,0,0,0,0,0,0,0,0,0,0,0,0.147710487,0,0
