Category,Item_Variant,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16
Indomie,Indomie Ala Eatopia,0,0,0,0,0,0,0,0,0,0,0,0,0.16,0.66,1.07,0.73
Indomie,Indomie Kuah Susu,0.61,1.1,0.67,0.41,0.41,0.28,1,0.23,0.3,0.55,0.76,0.54,0.47,0.3,0.25,0.36
Indomie,Indomie Original double,0,0,0.11,0.2,0.25,0.09,0.4,0.31,0.39,0.24,0.34,0.31,0.16,0.15,0.33,0
Indomie,Indomie Original,0.78,1.56,2.01,1.32,1.48,1.23,1,0.92,3.25,2.92,3.13,1.01,1.5,1.77,1.07,1.33
Indomie,Indomie Telur Keju,0.96,0.83,1,1.12,0.99,0.94,1,0.54,0.89,1.18,0.59,0.93,1.18,0.15,0.74,0.97
Indomie,Indomie Telur Smoke Beef,1.22,1.29,1.78,1.52,1.32,0.66,1.6,0.31,0.99,1.58,1.44,1.09,1.58,1.18,0.91,0.85
Indomie,Indomie Telur double,0,0.09,0,0.1,0.25,0.19,0.1,0.08,0,0.08,0.17,0.08,0.08,0.07,0.5,0
Indomie,Indomie Telur,3.31,2.94,2.56,3.14,2.47,2.83,3.2,1.53,3.35,4.5,4.39,3.18,3.07,2.14,2.4,1.7
Indomie,Korean Drama Noodle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,0
Indomie,Ramen,0.35,0.18,0.56,0.51,0.66,0.57,0.9,0.46,0.2,0.32,0.68,0.54,0.24,0.81,0.5,0.24
Juice,Avocado Smoothies,0.44,0.74,0.89,0.3,0.25,0.28,0.3,0.69,0.49,1.11,1.35,0.39,1.34,0.81,2.15,1.09
Juice,Avocado Coffee,0,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Juice,Banana Juice,0,0,0,0,0,0,0,0,0,0,0,0,0,0.59,0.25,0.12
Juice,Mango Smoothies,2.01,1.38,2.23,0.81,1.56,2.36,1,1.15,0.89,2.05,0.93,1.24,1.81,1.33,1.49,1.58
Juice,Melon,0.35,0.74,0,0.51,0,0.19,0,0,0,0.16,0,0,0,0,0,0
Juice,Mixed Juice,0.17,0.28,0.33,0.51,0.16,0.19,0.3,0.08,0.1,0.24,0.08,0.08,0.16,0.3,0.17,0
Juice,Orange Smoothies,0.78,0.83,1,1.22,0.66,0.66,0.3,0.69,0.79,0.63,1.01,1.55,0.95,0.37,0.17,0.49
Juice,Strawberry Smoothies,0.87,1.29,0.78,0.61,0.74,0.75,0.8,0.15,0.69,0.55,0.17,0,0.87,0.44,0.58,0.49
Juice,Watermelon,0,0.37,0.33,0.3,0.49,0.19,0.1,0.23,0,0.16,0,0.08,0.16,0,0,0
Juice,Kedondong Juice,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0.33,0
Latte,Caramel Latte Iced,0.7,0.37,0.56,0.3,0.49,0.09,0.3,0.38,0.2,0.08,0.25,0,0,0.15,0,0
Latte,Hazelnut Latte Iced,0.52,0.92,0.89,0.2,0.74,0.57,0.7,0.08,0.3,0.08,0.25,0.47,0.63,0.22,0.17,0.24
Latte,Matcha Latte Iced,0.35,0.09,0.33,0.3,0.25,0.66,0.2,0.15,0.3,0.24,0.17,0.7,0.39,0.3,0.25,0.12
Latte,Peppermint Latte Iced,0.17,0,0,0.1,0,0.38,0.3,0.08,0.1,0.08,0,0.08,0.24,0.15,0,0
Latte,Red Velvet Latte,0.96,0.46,0.22,0.3,0.49,0.28,0.3,0.38,0.1,0.32,0,0.08,0.08,0.07,0,0
Latte,Taro Latte Iced,0.17,0.09,0.33,0.1,0.08,0.19,0,0.08,0,0.16,0.25,0.16,0.08,0,0.08,0.12
Latte,Tiramisu Latte Iced,0,0,0,0,0,0,0,0,0.1,0,0.08,0,0.08,0,0.08,0.12
Latte,Vanilla Latte Iced,0.52,0.28,0.11,0.1,0.08,0.28,0.4,0.23,0.39,0.08,0.25,0.23,0.47,0,0,0.36
Milkshake,Milkshake Chocolate,0.09,0.37,0.33,0.61,0.49,0.38,0.2,0.38,0.2,0.24,0.42,0.39,0.39,0.81,0.17,0.61
Milkshake,Milkshake Matcha,0,0,0,0,0,0,0,0,0,0,0,0,0.08,0.96,0.41,0.49
Milkshake,Milkshake Strawberry,0,0,0,0,0,0,0,0,0,0,0,0,0,0.52,0.17,0
Milkshake,Milkshake Vanilla,0,0,0,0,0,0,0,0,0,0,0,0,0.08,0.52,0.33,0.36
Milkshake,Strawberry Smoothies,0.26,0.09,0,0.2,0.16,0.09,0.2,0.38,0.2,0.47,0.08,0.16,0.08,0,0,0
Milkshake,Vanilla Blended,0.26,0.18,0.45,0.61,0.74,0.19,0.7,0.15,0,0.63,0.42,0.16,0.32,0,0,0
Nasi Goreng,Nasi Goreng Buntut,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0.74,0.61
Nasi Goreng,Nasi Goreng Hongkong,4.18,4.88,3.57,3.96,3.45,2.73,3.4,2.92,4.14,4.34,4.65,4.58,3.86,3.77,3.06,2.43
Nasi Goreng,Nasi Goreng Pattaya,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0,0
Nasi Goreng,Nasi Goreng Teri Medan,0,0,0,0,0,0,0,0,0,0,0,0,2.21,2.88,3.47,4
Nasi Goreng,Nasi Goreng Tradisional,2.88,2.48,3.34,3.04,3.54,2.26,3.2,2.76,2.96,3.32,3.72,3.49,3.62,3.18,2.23,2.43
Non-Coffee,Banana Split,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22,0.08,0
Non-Coffee,Bandrek,0,0,0,0,0,0,0.2,0,0.69,1.18,1.1,0.7,0.39,0.44,0.66,0.36
Non-Coffee,Beauty on The Beach,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0.25,0.24
Non-Coffee,Chocolate Cold,0,0,0,0,0,0.28,0.7,0.46,0.49,0.32,0.17,0.85,0.08,0,0,0
Non-Coffee,Jeruk,0.52,0.64,0.89,1.22,0.58,0.47,0.6,0.54,0.49,0.63,0.76,0.62,0.39,1.33,0.83,0.24
Non-Coffee,Matcha Thai Tea,0.87,0.64,0.67,0.61,0.41,0.38,0.4,0.46,0.99,0.08,0.51,0.47,0.32,0.3,0.17,0.61
Non-Coffee,Pure chocolate dark,0,0,0,0,0,0,0,0,0,0,0,0,0.32,0,0,0
Non-Coffee,Susu Jahe,0,0,0,0,0,0.75,0.5,0.77,0.99,0.79,1.01,0.93,1.1,1.18,0.91,0.36
Non-Coffee,Taro Blended,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,0
Non-Coffee,Thai Tea,1.74,1.29,1.34,1.42,1.73,1.98,2.1,1.69,1.58,1.26,1.1,1.55,1.26,1.4,1.24,1.21
Non-Coffee,Thai Tea GrassJelly,0,0,0,0,0,0,0,0,0,0,0,0,0,0.66,0,0.61
Pasta,Aglio Olio,0.96,1.2,0.67,1.72,1.23,1.6,0.9,1.61,1.77,0.55,1.1,1.55,2.6,1.7,1.49,1.09
Pasta,Bolognaise,1.13,1.2,0.56,1.01,0.41,1.23,0.6,0.92,0.59,1.34,1.94,1.16,1.1,0.52,0.58,0.61
Pasta,Carbonara,1.74,1.93,1.11,1.42,1.23,2.07,0.7,1.3,2.27,1.74,1.69,1.71,2.36,1.62,1.24,1.58
Rice Bowl,RB Chicken BBQ,1.57,1.2,1.67,1.42,0.99,1.13,1.3,0.69,1.58,1.58,1.18,1.01,1.65,0.37,0,0
Rice Bowl,RB Chicken Blackpepper,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07,0,0
Rice Bowl,RB Chicken Chops Sauce BBQ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07,0,0.24
Rice Bowl,RB Chicken Chops Sauce Blackpepper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12
Rice Bowl,RB Chicken Chops Sauce Bolognaise,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0,0
Rice Bowl,RB Chicken Chops Sauce Carbonara,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,0
Rice Bowl,RB Chicken Chops Sauce Teriyaki,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.41,0.24
Rice Bowl,RB Chicken Katsu,1.48,1.66,1.56,1.12,1.73,1.51,1.7,5.37,1.28,1.58,2.36,2.56,1.1,0.44,0,0
Rice Bowl,RB Chicken Katsu Sauce BBQ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.66,0.74,0.73
Rice Bowl,RB Chicken Katsu Sauce Blackpepper,0,0,0,0,0,0,0,0,0,0,0,0,0,0.66,0.41,0.49
Rice Bowl,RB Chicken Katsu Sauce Bolognaise,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22,0.83,0.36
Rice Bowl,RB Chicken Katsu Sauce Carbonara,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17,0
Rice Bowl,RB Chicken Katsu Sauce Teriyaki,0,0,0,0,0,0,0,0,0,0,0,0,0,0.52,0.5,0.36
Rice Bowl,RB Chicken Teriyaki,1.31,0.92,2.23,1.32,0.58,1.41,1.2,1.61,1.87,2.84,1.52,1.32,1.73,0.3,0,0
Rice Bowl,RB Chicken Wings Sauce BBQ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37,0,0.49
Rice Bowl,RB Chicken Wings Sauce Blackpepper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24
