Expected Annual Damage,Expected Evacuation Costs,Expected Number of Deaths,Total Construction Costs
1618463710.412693,0.0,2.232871851235459,0.0
472779519.13408357,0.0,0.524674008038601,0.0
709089880.439693,0.0,0.7745734481906619,0.0
1044995661.005744,0.0,1.4932635259995033,0.0
1024994451.1424245,0.0,0.9942656659597016,0.0
578297200.3910762,0.0,0.7636037603396189,0.0
778805801.3819948,0.0,0.6302172029754964,0.0
780689604.7934256,0.0,1.4183718956802973,0.0
161356572.68724382,0.0,0.20706828877685401,0.0
1623386194.4814832,0.0,1.0557872617042294,0.0
149784435.65044093,0.0,0.1354634310366422,0.0
47736914.93965448,0.0,0.05069319128044419,0.0
1360718655.308034,0.0,1.1379664090900543,0.0
712594079.297534,0.0,1.2576460110029346,0.0
181630060.66946638,0.0,0.20688304290743675,0.0
202234608.22815958,0.0,0.29152916413579133,0.0
992016823.0970563,0.0,1.5094588137813307,0.0
145339422.09478337,0.0,0.20663941789231322,0.0
118252517.48494872,0.0,0.17103220845196393,0.0
469202405.9053723,0.0,0.5426975090851094,0.0
513672212.9917416,0.0,1.1408658524591961,0.0
675679052.370323,0.0,0.54828321628152,0.0
1203027951.7936928,0.0,1.6195224827782337,0.0
1176397236.0827217,0.0,1.9754293176829436,0.0
384113324.0981652,0.0,0.5390234961393567,0.0
124374153.69388178,0.0,0.1793918517014134,0.0
300492036.7732285,0.0,0.3121453525680806,0.0
153871268.10122788,0.0,0.17662546857802583,0.0
663537387.1563324,0.0,1.2646810023607276,0.0
182108379.12301403,0.0,0.2914913464398568,0.0
910735682.1490241,0.0,1.2481804647562793,0.0
430025038.1845963,0.0,0.48600020159669705,0.0
1135601037.415887,0.0,1.346555899641787,0.0
729495492.6927468,0.0,1.2731109600013368,0.0
745441751.8399012,0.0,0.772501573880271,0.0
72004363.39330122,0.0,0.07442250698890912,0.0
171979390.0233047,0.0,0.21489484657445257,0.0
942330411.8483126,0.0,1.2353893538389538,0.0
84612375.70197998,0.0,0.09683592911546512,0.0
129261254.28072572,0.0,0.1267406888181948,0.0
1212697859.1192145,0.0,0.7563891005373704,0.0
1306571128.5665426,0.0,0.8612046895132023,0.0
773521723.2512816,0.0,1.1073585735862592,0.0
607420569.2400873,0.0,0.45422913127883124,0.0
181155029.14269093,0.0,0.183197726189962,0.0
1120752728.548167,0.0,0.8949215929605325,0.0
1031740544.8920401,0.0,0.7964793315736266,0.0
681644226.8577417,0.0,0.729128153031509,0.0
569701890.084373,0.0,0.682224905692748,0.0
33591368.566821106,0.0,0.04195441250659837,0.0
95278929.69548953,0.0,0.0769720334159168,0.0
284545069.3348345,0.0,0.24064107879821853,0.0
189122175.6805151,0.0,0.19751091483110117,0.0
335131881.2191257,0.0,0.3954561708433636,0.0
508597528.85132146,0.0,1.1376449825003285,0.0
104506027.81599745,0.0,0.1289387104694768,0.0
858860440.5360177,0.0,1.3601474132021847,0.0
581009563.854734,0.0,1.2350403584590357,0.0
1499053626.748311,0.0,2.0559637895408924,0.0
638226847.2360412,0.0,0.7324787373714174,0.0
